date,phytos31_moisture,teros11_temperature,atmos14_atmosphericpressure,teros11_volumetricwatercontent,atmos14_temperature,atmos14_vaporpressure,atmos14_moisture
2022-07-12 06:00:00+00:00,0.16715,21.74166166666667,97.26749500000001,2675.110815833333,21.799993333333333,1.9679991666666667,0.7226658333333332
2022-07-12 07:00:00+00:00,0.16564416666666668,22.12499916666667,97.28916583333334,2666.8191675000003,23.033330833333334,1.7934158333333334,0.6382475
2022-07-12 08:00:00+00:00,0.16570416666666668,22.483328333333333,97.28249333333333,2725.594502727273,24.799995833333337,1.6852718181818183,0.539665
2022-07-12 09:00:00+00:00,0.165075,23.008328333333335,97.2824925,2711.817539166667,26.874995833333333,1.5787254545454545,0.446165
2022-07-12 10:00:00+00:00,0.1647075,23.599996666666666,97.28833166666668,2685.9250033333333,28.649995,1.4066608333333335,0.35891249999999997
2022-07-12 11:00:00+00:00,0.16562333333333334,24.316663333333334,97.27832583333334,2705.4192033333334,29.799994166666664,1.3774974999999998,0.32899833333333334
2022-07-12 12:00:00+00:00,0.16415833333333332,27.341663333333333,97.25333333333333,2706.8866541666666,30.649996666666667,1.3837458333333332,0.2576658333333333
2022-07-12 13:00:00+00:00,0.16328166666666666,26.024995,97.249165,2706.6563572727273,31.033328333333333,1.2618291666666666,0.24041500000000002
2022-07-12 14:00:00+00:00,0.16334416666666665,25.65833333333333,97.22916666666667,2725.9891508333335,31.166665,1.214915,0.267665
2022-07-12 15:00:00+00:00,0.16438166666666668,25.51666333333333,97.22250000000001,2726.5241458333335,30.649997499999998,1.2892458333333334,0.26883083333333335
2022-07-12 16:00:00+00:00,0.16346583333333334,25.116663333333335,97.22833000000001,2718.288305833333,28.433328333333332,1.3607449999999999,0.26516083333333335
2022-07-12 17:00:00+00:00,0.16470833333333335,24.616664166666666,97.2533325,2701.5874808333333,26.908329166666665,1.3685808333333334,0.31616416666666664
2022-07-12 18:00:00+00:00,0.16468750000000001,24.227268181818182,97.26582833333333,2687.3175008333333,26.0499975,1.20583,0.3361625
2022-07-12 19:00:00+00:00,0.16385272727272726,23.641661666666668,97.29166083333332,2680.4757866666664,23.649995833333335,1.2701616666666666,0.43683083333333333
2022-07-12 20:00:00+00:00,0.16426,22.941661666666665,97.346993,2677.269081818182,19.749992,1.391897,0.597298
2022-07-12 21:00:00+00:00,0.16556,22.6,97.36,2675.80004,18.7,1.46599,0.681
2022-07-12 22:00:00+00:00,0.16588916666666667,21.716662499999998,97.324995,2673.2582975,16.909087272727273,1.53118,0.7958308333333334
2022-07-12 23:00:00+00:00,0.16529666666666668,21.336356363636362,97.31271727272728,2672.794539090909,16.391658333333332,1.535245,0.8238163636363637
2022-07-13 00:00:00+00:00,0.16426,21.066665833333335,97.31915666666667,2670.6141716666666,16.424993333333333,1.5279975,0.8187491666666666
2022-07-13 01:00:00+00:00,0.16568416666666666,20.845444545454544,97.30749416666667,2669.5875,16.333323333333336,1.5159981818181818,0.8174999999999999
2022-07-13 02:00:00+00:00,0.16623416666666666,20.6749975,97.31332333333334,2668.3683616666667,16.433328333333332,1.511165,0.8090808333333334
2022-07-13 03:00:00+00:00,0.165155,20.516666666666666,97.3058275,2667.4891525,16.4666625,1.4979116666666668,0.7995816666666666
2022-07-13 04:00:00+00:00,0.1658675,20.599999166666667,97.29999916666667,2666.4441491666666,17.13333,1.5669063636363634,0.8045825
2022-07-13 05:00:00+00:00,0.16635666666666668,21.183329166666667,97.30332916666667,2664.4150125,19.666663333333332,1.7810833333333334,0.7820791666666667
2022-07-13 06:00:00+00:00,0.16537916666666666,21.85833,97.30083083333334,2679.48337,22.124995833333333,1.8314991666666665,0.6787483333333334
2022-07-13 07:00:00+00:00,0.16591,22.299997142857144,97.29,2743.68289,23.81428142857143,1.9052475,0.6428557142857143
2022-07-13 08:00:00+00:00,0.16599083333333334,22.799996,97.29083083333335,2709.7666375000003,25.533328333333333,1.77383,0.5405808333333334
2022-07-13 09:00:00+00:00,0.1643,23.390905454545454,97.29,2740.08915,27.4916625,1.9005409090909091,0.49241416666666665
2022-07-13 10:00:00+00:00,0.16503333333333334,24.033328333333333,97.28999916666668,2733.6166541666666,29.6416625,2.1866625,0.5159133333333333
2022-07-13 11:00:00+00:00,0.16483083333333334,24.8666625,97.25499500000001,2731.256628333333,31.308328333333336,2.4012458333333333,0.5102466666666666
